Dataset,Model,RMSE,MAE,R2,NRMSE_pct
"Football fitness (n=12,654)",Banister-IR,7.210,5.830,0.691,11.420
"Football fitness (n=12,654)",LSTM,5.470,4.360,0.807,8.410
"Football fitness (n=12,654)",BiLSTM,5.200,4.150,0.824,7.960
"Football fitness (n=12,654)",Transformer,5.410,4.300,0.837,8.330
"Football fitness (n=12,654)",TFT,4.740,3.770,0.841,7.160
"Football fitness (n=12,654)",Informer,4.810,3.820,0.823,7.420
"Football fitness (n=12,654)",PatchTST,4.520,3.570,0.845,6.920
"Football fitness (n=12,654)",TimesNet,4.660,3.690,0.841,7.120
"Football fitness (n=12,654)",iTransformer,4.410,3.490,0.853,6.780
"Football fitness (n=12,654)",MS-TANet (Ours),3.790,3.020,0.889,5.920
"Multi-sport collegiate (n=24,180)",Banister-IR,7.490,6.070,0.652,11.960
"Multi-sport collegiate (n=24,180)",LSTM,5.660,4.500,0.789,8.780
"Multi-sport collegiate (n=24,180)",BiLSTM,5.380,4.270,0.804,8.310
"Multi-sport collegiate (n=24,180)",Transformer,5.600,4.420,0.813,8.660
"Multi-sport collegiate (n=24,180)",TFT,4.910,3.880,0.830,7.510
"Multi-sport collegiate (n=24,180)",Informer,4.970,3.920,0.817,7.620
"Multi-sport collegiate (n=24,180)",PatchTST,4.660,3.690,0.834,7.160
"Multi-sport collegiate (n=24,180)",TimesNet,4.800,3.790,0.829,7.360
"Multi-sport collegiate (n=24,180)",iTransformer,4.550,3.590,0.842,6.980
"Multi-sport collegiate (n=24,180)",MS-TANet (Ours),3.910,3.100,0.871,6.100
"Self-built longitudinal (n=15,481)",Banister-IR,7.860,6.400,0.618,12.420
"Self-built longitudinal (n=15,481)",LSTM,5.970,4.740,0.768,9.190
"Self-built longitudinal (n=15,481)",BiLSTM,5.710,4.520,0.781,8.810
"Self-built longitudinal (n=15,481)",Transformer,5.910,4.660,0.759,9.100
"Self-built longitudinal (n=15,481)",TFT,5.200,4.100,0.823,7.990
"Self-built longitudinal (n=15,481)",Informer,5.270,4.160,0.806,8.100
"Self-built longitudinal (n=15,481)",PatchTST,4.990,3.940,0.827,7.690
"Self-built longitudinal (n=15,481)",TimesNet,5.080,4.010,0.820,7.820
"Self-built longitudinal (n=15,481)",iTransformer,4.860,3.830,0.835,7.480
"Self-built longitudinal (n=15,481)",MS-TANet (Ours),4.040,3.210,0.853,6.300
